Gene,Collapsing model,P value,No. with QV,No. without QV,QV carrier median,QV non-carrier median,Effect size,Effect size standard error,Effect size LCI,Effect size UCI
ADRB1,flexdmg,0.00000753327294452372,676,253850,-0.161483838003771,0.0004727146,-0.169506529235758,0.037852086444259,-0.243695608209451,-0.0953174502620659
FES,flexdmg,4.80353975849636e-7,984,253542,0.14996495,-0.00062043795,0.158033899328014,0.0313925038565903,0.0965054297883448,0.219562368867683
GUCY1A1,flexdmg,0.0000363454846908425,1365,253161,0.0888245129071311,-0.0004973352,0.110154704159867,0.026674196570745,0.0578739909457887,0.162435417373945
JMJD1C,flexdmg,0.0000473610787593774,1912,252614,-0.101854005,0.0007189202,-0.0917945231641018,0.022563073251458,-0.136017544418337,-0.0475715019098663
VASN,flexdmg,0.0000521144799992643,984,253542,-0.117047045742502,0.0004234735,-0.127016484356263,0.0313930617357365,-0.188546047324167,-0.06548692138836
EIF5,flexdmg,0.000126945235523577,670,253856,0.13270445,-0.0003446877,0.145711128124885,0.0380211552935609,0.0711906787198345,0.220231577529936
IFRD1,flexdmg,0.00014125727457943,722,253804,0.1339667,-0.0003643842,0.139415140459922,0.0366302200368488,0.0676208870271717,0.211209393892672
ANKRD24,flexdmg,0.00015063132602407,987,253539,0.1426363,-0.0004776387,0.118802633688259,0.0313456506415177,0.0573659951993908,0.180239272177127
CD52,flexdmg,0.000169428990861308,13,254513,1.181565,-0.00003446877,1.02520156507278,0.272604162318754,0.4909046840645,1.55949844608106
DUOXA2,flexdmg,0.000166066031109183,828,253698,0.1799331,-0.0005908933,0.128837043561774,0.034212561595855,0.0617813361342597,0.195892750989287
LRAT,flexdmg,0.000197255178421844,202,254324,-0.2579971,0.0001969644,-0.257531530198353,0.0691812903283858,-0.393125012455471,-0.121938047941234
MTMR8,flexdmg,0.000217690059834617,1389,253137,-0.1553231,0.0008518712,-0.0978081444926233,0.0264517656225652,-0.149652898986037,-0.0459633899992095
POU3F3,flexdmg,0.000221129358666987,351,254175,0.0972813,-0.0001723439,0.193906642178895,0.0524977079943171,0.0910125359302562,0.296800748427533
KIF1A,flexdmg,0.000269204464007883,3293,251233,0.06604584,-0.0008617194,0.0628086862808316,0.0172394420084135,0.0290198401492452,0.0965975324124179
LDLR,flexdmg,0.000230249952388273,2344,252182,-0.0833236325939519,0.0007681613,-0.0751224251039371,0.0203952194517418,-0.115096510781334,-0.0351483394265399
TEKT2,flexdmg,0.000263194889277745,745,253781,-0.100171,0.000310219,-0.131594765757848,0.0360620757203801,-0.202275471496867,-0.0609140600188303
GPR68,flexdmg,0.000320842995637233,319,254207,-0.2095626,0.0003003707,-0.198116513660377,0.0550643036544134,-0.306041078887831,-0.0901919484329238
RASA1,flexdmg,0.000309058327958401,1064,253462,-0.124229129991905,0.0005810451,-0.108931469176437,0.0301946924451647,-0.168112260325148,-0.049750678027725
MGAT2,flexdmg,0.000355570344825662,546,253980,-0.1901868,0.0004136253,-0.150371197625456,0.0421079806121022,-0.232901715557519,-0.0678406796933916
IL22RA2,flexdmg,0.000389865870364885,592,253934,0.13841955,-0.0002363573,0.143445571096803,0.0404425449380222,0.0641792626273239,0.222711879566282
ANAPC2,flexdmg,0.000557384214362439,1044,253482,0.103037435,-0.0005022593,0.105209835316949,0.0304815561396725,0.0454667989847948,0.164952871649103
DHX30,flexdmg,0.000529286389376589,117,254409,0.3147434,-0.0001821921,0.314971641204108,0.0908871611753981,0.136835231522549,0.493108050885667
SMAD9,flexdmg,0.000554637046171577,2494,252032,0.08038396,-0.0007681613,0.0682919552380702,0.0197780118668568,0.0295275799507628,0.107056330525378
MYH1,flexdmg,0.000570751647021134,6940,247586,0.046253885,-0.001349207,0.0412125943295962,0.0119623600678749,0.0177666879303753,0.0646585007288171
SLC26A9,flexdmg,0.000614249676996889,2155,252371,0.05849731,-0.0004579423,0.0728304159339925,0.0212625802916515,0.0311563261644693,0.114504505703516
ZKSCAN5,flexdmg,0.000589849617761196,199,254327,0.33945,-0.0001624956,0.23951158015443,0.069700781193962,0.102899909668531,0.376123250640329
COL21A1,flexdmg,0.000627885519449448,2474,252052,-0.090624125,0.0008567953,-0.0678978084122798,0.0198571303096024,-0.106817253735311,-0.0289783630892485
USF1,flexdmg,0.000646381112517816,570,253956,0.10165085,-0.0002757502,0.140597852277521,0.0412140123791886,0.0598194882175893,0.221376216337452
CTTNBP2,flexdmg,0.00067810749738802,3471,251055,-0.06725986,0.001019291,-0.0570838047939363,0.0167976404926739,-0.0900067317485133,-0.0241608778393592
ERGIC2,flexdmg,0.000694030471502323,582,253944,-0.17416845,0.00035453595,-0.138350458235552,0.0407876637686301,-0.218293190400116,-0.0584077260709883
SVEP1,flexdmg,0.000731130466102295,4919,249607,0.05635672,-0.00113747,0.0477982899822041,0.0141512508543009,0.0200622160737739,0.0755343638906343
OTOG,flexdmg,0.000763606420312896,5407,249119,0.05453199,-0.001216256,0.0454729516172437,0.0135106917805354,0.0189923563937436,0.0719535468407437
