Gene,Collapsing model,P value,No. with QV,No. without QV,QV carrier median,QV non-carrier median,Effect size,Effect size standard error,Effect size LCI,Effect size UCI
FES,flexdmg,7.6687583367929e-9,984,253539,0.1792798,-0.0005810519,0.171010423990335,0.0296082118866579,0.112979119077014,0.229041728903657
NPR1,flexdmg,0.0000162331714664112,1545,252978,0.1006523,-0.00065491445,0.101988827275664,0.0236559660651492,0.0556237652786415,0.148353889272686
C3ORF52,flexdmg,0.0000988146443406169,867,253656,0.1405938,-0.000487492684594317,0.122790988017868,0.0315370585761748,0.0609791950832195,0.184602780952516
KBTBD7,flexdmg,0.000076433008776486,547,253976,-0.139290966933005,0.00033976765,-0.156944213410069,0.0396786450478012,-0.234713298491294,-0.079175128328845
PARN,flexdmg,0.000104686110040038,545,253978,-0.1370638,0.00031022265,-0.154216395545368,0.0397513398705073,-0.232127960538524,-0.0763048305522119
REN,flexdmg,0.0000887040372083005,644,253879,-0.1748379,0.0003840852,-0.143363360806408,0.0365756327202733,-0.21505062455989,-0.0716760970529253
RPUSD4,flexdmg,0.0000992490028956921,265,254258,-0.1667235,0.00016249755,-0.221776364522576,0.0569755612963914,-0.333446943713765,-0.110105785331387
ZFAT,flexdmg,0.0000832470725754273,493,254030,-0.2142637,0.00036931265,-0.164443742733408,0.0417908910003785,-0.246352773495755,-0.0825347119710607
INPP4A,flexdmg,0.000110869317621228,857,253666,0.1393109,-0.0005170377,0.12261286414161,0.0317194323222267,0.0604436235331266,0.184782104750094
ZNF708,flexdmg,0.000177703125290888,684,253839,0.145226310096208,-0.0004037818,0.133056501341025,0.0354928395688547,0.0634914832594046,0.202621519422646
ADRB1,flexdmg,0.000220978455359752,676,253847,-0.12710205,0.0003545401,-0.131874581985594,0.0357016552306071,-0.201848873189963,-0.0619002907812259
JUN,flexdmg,0.000218155827203927,122,254401,0.44465525,-0.0001575734,0.310367903082025,0.0839499039107065,0.145828332440761,0.474907473723289
MGAT2,flexdmg,0.000204079088388391,546,253977,-0.18678585,0.0004234785,-0.14750087815286,0.0397151845830285,-0.225341579747715,-0.0696601765580048
C4ORF33,flexdmg,0.000243513258708293,269,254254,0.1675924,-0.000192042551910838,0.207486801496809,0.0565507161074402,0.096648907534818,0.3183246954588
MYO1D,flexdmg,0.000263900106606121,1948,252575,-0.06101897,0.0004136302,-0.0769252509482223,0.0210844785951194,-0.118250266149263,-0.0356002357471813
