Gene,Collapsing model,P value,No. participants,No. cases with QV,% cases with QV,No. controls with QV,% controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
SRR,flexdmg,0.0998,146157,2,0.0150375939849624,583,0.00399249438448474,3.8087,0.9403,15.4271
SECISBP2,flexdmg,0.0998,146157,2,0.0150375939849624,583,0.00399249438448474,3.8087,0.9403,15.4271
TNRC6B,flexdmg,0.0998,146157,2,0.0150375939849624,583,0.00399249438448474,3.8087,0.9403,15.4271
MEIS3,flexdmg,0.0998,146157,2,0.0150375939849624,583,0.00399249438448474,3.8087,0.9403,15.4271
ENTPD4,flexdmg,0.0998,146157,2,0.0150375939849624,583,0.00399249438448474,3.8087,0.9403,15.4271
UEVLD,flexdmg,0.0995,146157,2,0.0150375939849624,582,0.003985646195146,3.8153,0.9419,15.4538
FAM219B,flexdmg,0.0994,146157,1,0.0075187969924812,114,0.000780693584616227,9.6963,1.3442,69.9449
TMEM14B,flexdmg,0.0994,146157,1,0.0075187969924812,114,0.000780693584616227,9.6963,1.3442,69.9449
SIK3,flexdmg,0.0993,146157,3,0.0225563909774436,1209,0.00827946091053525,2.7642,0.8788,8.6948
PCNX4,flexdmg,0.0991,146157,3,0.0225563909774436,1208,0.00827261272119652,2.7665,0.8795,8.7021
RFX4,flexdmg,0.099,146157,2,0.0150375939849624,580,0.00397194981646853,3.8285,0.9452,15.5074
GET4,flexdmg,0.099,146157,2,0.0150375939849624,580,0.00397194981646853,3.8285,0.9452,15.5074
ULK1,flexdmg,0.099,146157,2,0.0150375939849624,580,0.00397194981646853,3.8285,0.9452,15.5074
VNN2,flexdmg,0.099,146157,3,0.0225563909774436,1207,0.00826576453185778,2.7688,0.8802,8.7094
CCT2,flexdmg,0.0987,146157,2,0.0150375939849624,579,0.00396510162712979,3.8351,0.9468,15.5343
CXCL12,flexdmg,0.0986,146157,1,0.0075187969924812,113,0.000773845395277489,9.7822,1.356,70.5697
ITM2A,flexdmg,0.0986,146157,1,0.0075187969924812,113,0.000773845395277489,9.7822,1.356,70.5697
BEST4,flexdmg,0.0984,146157,2,0.0150375939849624,578,0.00395825343779105,3.8418,0.9485,15.5614
SLC43A2,flexdmg,0.0981,146157,2,0.0150375939849624,577,0.00395140524845231,3.8485,0.9501,15.5885
PTPN23,flexdmg,0.0979,146157,3,0.0225563909774436,1201,0.00822467539582534,2.7827,0.8847,8.7533
CD34,flexdmg,0.0978,146157,1,0.0075187969924812,112,0.00076699720593875,9.8696,1.368,71.2057
PAFAH1B1,flexdmg,0.0978,146157,1,0.0075187969924812,112,0.00076699720593875,9.8696,1.368,71.2057
OR1Q1,flexdmg,0.0978,146157,1,0.0075187969924812,112,0.00076699720593875,9.8696,1.368,71.2057
ZKSCAN5,flexdmg,0.0978,146157,1,0.0075187969924812,112,0.00076699720593875,9.8696,1.368,71.2057
FGF17,flexdmg,0.0978,146157,1,0.0075187969924812,112,0.00076699720593875,9.8696,1.368,71.2057
CDK14,flexdmg,0.0978,146157,2,0.0150375939849624,576,0.00394455705911357,3.8552,0.9518,15.6158
